iter	Passed	Remaining
0	21	216304
1	41	207934
2	59	198913
3	76	190930
4	96	192309
5	115	192087
6	133	190650
7	150	187797
8	170	189462
9	189	188915
10	207	188099
11	227	189321
12	245	188853
13	264	188317
14	285	189846
15	300	187561
16	316	185769
17	330	183379
18	345	181464
19	360	179647
20	376	178855
21	391	177786
22	407	176960
23	424	176328
24	439	175381
25	458	175896
26	475	175629
27	492	175576
28	509	175147
29	525	174592
30	540	173714
31	555	173081
32	572	172851
33	588	172469
34	602	171564
35	619	171330
36	635	171011
37	649	170366
38	666	170195
39	682	169909
40	697	169481
41	713	169166
42	732	169527
43	749	169684
44	767	169711
45	783	169599
46	802	170034
47	819	169979
48	837	170058
49	855	170263
50	871	170054
51	887	169812
52	903	169660
53	921	169781
54	937	169507
55	952	169203
56	969	169132
57	986	169054
58	1001	168811
59	1016	168472
60	1032	168201
61	1048	168034
62	1063	167776
63	1080	167704
64	1096	167601
65	1114	167724
66	1132	167956
67	1151	168236
68	1167	168011
69	1184	167964
70	1200	167860
71	1217	167825
72	1232	167663
73	1246	167254
74	1263	167223
75	1280	167156
76	1294	166829
77	1308	166441
78	1323	166179
79	1337	165809
80	1351	165530
81	1365	165109
82	1380	164992
83	1396	164852
84	1410	164541
85	1427	164512
86	1443	164420
87	1460	164532
88	1476	164450
89	1492	164292
90	1508	164214
91	1523	164025
92	1538	163901
93	1554	163858
94	1571	163798
95	1587	163809
96	1604	163764
97	1620	163722
98	1635	163549
99	1651	163482
100	1668	163503
101	1683	163393
102	1698	163234
103	1715	163252
104	1732	163239
105	1748	163191
106	1765	163224
107	1783	163396
108	1801	163466
109	1818	163479
110	1836	163614
111	1853	163620
112	1870	163669
113	1887	163704
114	1904	163746
115	1921	163714
116	1937	163670
117	1953	163582
118	1970	163585
119	1984	163425
120	2001	163386
121	2017	163321
122	2032	163235
123	2048	163119
124	2063	163049
125	2080	163055
126	2098	163139
127	2114	163068
128	2131	163100
129	2149	163176
130	2166	163222
131	2181	163049
132	2196	162923
133	2210	162782
134	2225	162647
135	2242	162654
136	2260	162755
137	2275	162621
138	2291	162530
139	2305	162355
140	2320	162239
141	2335	162124
142	2349	161946
143	2363	161788
144	2380	161796
145	2398	161855
146	2414	161843
147	2434	162027
148	2449	161936
149	2464	161840
150	2480	161806
151	2497	161800
152	2513	161787
153	2529	161705
154	2544	161588
155	2561	161606
156	2576	161501
157	2591	161440
158	2606	161300
159	2622	161268
160	2638	161242
